date,open,high,low,close
2022-09-21,11070.8400,11070.8400,10936.3900,10974.6800
2022-09-22,10974.6800,10974.6800,10724.4100,10834.1600
2022-09-23,10834.1600,10834.1600,10698.3800,10698.3800
2022-09-26,10698.3800,10698.3800,10450.5500,10484.7800
2022-09-27,10484.7800,10550.1200,10456.4300,10498.1000
2022-09-28,10498.1000,10529.9600,10259.2500,10259.4000
2022-09-29,10259.4000,10379.3300,10202.1900,10252.8100
2022-09-30,10252.8100,10252.8100,10049.7500,10098.3100
2022-10-03,10098.3100,10120.1500,9981.2100,9991.7900
2022-10-04,9991.7900,10238.1800,9991.7900,10222.1400
2022-10-05,10222.1400,10568.7800,10222.1400,10485.8700
2022-10-06,10485.8700,10579.9300,10485.8700,10576.6700
2022-10-07,10576.6700,10576.6700,10357.0400,10371.7700
2022-10-11,10371.7700,10371.7700,9814.6500,9814.6500
2022-10-12,9814.6500,9831.9500,9718.6100,9784.0100
2022-10-13,9784.0100,9825.4400,9652.1900,9655.4500
2022-10-14,9655.4500,9999.9000,9655.4500,9927.7600
2022-10-17,9927.7600,9927.7600,9677.0200,9743.7600
2022-10-18,9743.7600,9904.4200,9743.7600,9895.2800
2022-10-19,9895.2800,9895.2800,9727.5400,9730.0600
2022-10-20,9730.0600,9740.9300,9514.3100,9739.0500
2022-10-21,9739.0500,9763.1000,9642.1800,9648.3400
2022-10-24,9648.3400,9814.8800,9642.5900,9647.3100
2022-10-25,9647.3100,9647.3100,9420.2000,9442.8500
2022-10-26,9442.8500,9578.2700,9428.4700,9526.5500
2022-10-27,9526.5500,9726.0000,9526.5500,9664.8700
2022-10-28,9664.8700,9664.8700,9490.0000,9565.4400
2022-10-31,9565.4400,9730.1000,9565.4400,9711.6300
2022-11-01,9711.6300,9786.6200,9661.8600,9764.7600
2022-11-02,9764.7600,9810.2900,9724.5700,9810.2900
2022-11-03,9810.2900,9810.2900,9632.1600,9659.8800
2022-11-04,9659.8800,9678.6600,9551.4100,9662.4300
2022-11-07,9662.4300,9858.5500,9662.4300,9830.0400
2022-11-08,9830.0400,9980.9500,9830.0400,9962.9400
2022-11-09,9962.9400,10258.0100,9962.9400,10258.0100
2022-11-10,10258.0100,10258.0100,10089.3100,10126.0600
2022-11-11,10126.0600,10670.4600,10126.0600,10669.4600
2022-11-14,10669.4600,10832.2400,10669.4600,10780.7400
2022-11-15,10780.7400,11284.1500,10780.7400,11221.3800
2022-11-16,11221.3800,11360.8600,11179.2300,11252.1800
2022-11-17,11252.1800,11252.1800,11070.3800,11223.9300
2022-11-18,11223.9300,11357.7400,11182.6300,11216.2100
2022-11-21,11216.2100,11241.3200,11133.3200,11162.8600
2022-11-22,11162.8600,11279.2300,11070.4600,11279.2300
2022-11-23,11279.2300,11370.8600,11279.2300,11319.9400
2022-11-24,11319.9400,11443.9800,11319.9400,11443.2700
2022-11-25,11443.2700,11479.6600,11409.9900,11453.5200
2022-11-28,11453.5200,11453.5200,11178.2700,11181.9100
2022-11-29,11181.9100,11338.5500,11077.4500,11323.5500
2022-11-30,11323.5500,11445.2900,11277.7600,11445.2900
2022-12-01,11445.2900,11710.1400,11445.2900,11572.0800
2022-12-02,11572.0800,11572.0800,11462.3000,11504.1800
2022-12-05,11541.0000,11563.9600,11470.9500,11472.5400
2022-12-06,11472.5400,11472.5400,11249.4000,11261.1900
2022-12-07,11261.1900,11367.5100,11195.1800,11197.6000
2022-12-08,11197.6000,11199.3900,11031.1400,11105.0200
2022-12-09,11105.0200,11303.6900,11105.0200,11266.0200
2022-12-12,11266.0200,11266.0200,11113.5200,11175.4900
2022-12-13,11175.4900,11209.9700,11084.2100,11092.4900
2022-12-14,11092.4900,11274.9000,11092.4900,11271.3600
2022-12-15,11271.3600,11271.3600,11164.6500,11245.6200
2022-12-16,11245.6200,11245.6200,10990.9500,11067.4300
2022-12-19,11067.4300,11067.4300,10965.8900,10989.4900
2022-12-20,10989.4900,10994.3100,10775.8700,10804.2600
2022-12-21,10804.2600,10903.5400,10804.2600,10844.6900
2022-12-22,10844.6900,11025.8800,10844.6900,11024.3900
2022-12-23,11024.3900,11024.3900,10809.7700,10839.2400
2022-12-26,10839.2400,10866.9700,10822.0000,10858.3200
2022-12-27,10858.3200,10971.7500,10858.3200,10884.2400
2022-12-28,10884.2400,10884.2400,10695.4600,10763.2200
2022-12-29,10763.2200,10763.2200,10598.8600,10670.1000
2022-12-30,10670.1000,10826.7200,10670.1000,10716.3700
2023-01-03,10716.3700,10811.6400,10597.1000,10796.8500
2023-01-04,10796.8500,10812.3100,10734.4500,10744.9800
2023-01-05,10744.9800,10890.5600,10744.9800,10867.1900
2023-01-06,10867.1900,10937.7900,10834.8500,10924.9400
2023-01-09,10924.9400,11312.0700,10924.9400,11312.0700
2023-01-10,11312.0700,11378.1100,11302.5500,11377.9100
2023-01-11,11377.9100,11408.4500,11307.4500,11334.8900
2023-01-12,11334.8900,11390.6400,11303.0000,11335.1600
2023-01-13,11335.1600,11597.0100,11335.1600,11470.0300
2023-01-16,11470.0300,11595.9100,11470.0300,11567.7300
2023-01-17,11567.7300,11567.7300,11505.7800,11552.4400
2023-01-30,11552.4400,12138.4000,11552.4400,12138.4000
2023-01-31,12138.4000,12138.4000,11828.0600,11828.0600
2023-02-01,11828.0600,11964.0200,11828.0600,11964.0200
2023-02-02,11964.0200,12121.3600,11964.0200,12114.4200
2023-02-03,12114.4200,12131.0700,12041.4700,12128.7400
2023-02-06,11956.1100,11969.6500,11891.1400,11891.1400
2023-02-07,11891.1400,11944.9800,11842.3200,11863.9500
2023-02-08,11863.9500,12110.2700,11863.9500,12102.5800
2023-02-09,12102.5800,12102.5800,12033.9200,12092.3500
2023-02-10,12113.1100,12146.3000,12089.6600,12141.8500
2023-02-13,12141.8500,12141.8500,12015.8000,12094.1600
2023-02-14,12178.9000,12199.9000,12162.8600,12185.8400
2023-02-15,12005.1100,12014.5400,11877.6900,11923.5400
2023-02-16,11923.5400,12030.8300,11923.5400,11988.7300
2023-02-17,11988.7300,11988.7300,11836.3100,11885.6500
2023-02-20,11885.6500,11940.8700,11807.1400,11910.1800
2023-02-21,11910.1800,11910.1800,11847.1200,11900.0300
2023-02-22,11900.0300,11900.0300,11707.5500,11758.3800
2023-02-23,11758.3800,11977.3400,11758.3800,11929.7100
2023-02-24,11929.7100,12019.6700,11804.3700,11804.3700
2023-03-01,11804.3700,11975.3500,11693.2500,11960.6000
2023-03-02,11960.6000,11960.6000,11845.3400,11929.0100
2023-03-03,11929.0100,12028.1800,11908.4600,11909.5200
2023-03-06,12033.0500,12084.4900,12019.4300,12030.0500
2023-03-07,12030.0500,12134.9500,12003.3300,12106.5200
2023-03-08,12106.5200,12106.5200,11986.3400,12046.2300
2023-03-09,12046.2300,12100.5100,12019.5400,12020.0400
2023-03-10,12020.0400,12020.0400,11808.0800,11838.2200
2023-03-13,11838.2200,11907.9900,11733.3200,11888.8700
2023-03-14,11888.8700,11888.8700,11716.9000,11729.6000
2023-03-15,11729.6000,11866.9400,11729.6000,11751.5100
2023-03-16,11643.0200,11677.0600,11617.2500,11638.8500
2023-03-17,11638.8500,11849.8300,11638.8500,11848.7100
2023-03-20,11848.7100,11862.6600,11745.7900,11768.2500
2023-03-21,11768.2500,11853.5500,11768.2500,11841.2900
2023-03-22,11841.2900,12078.8800,11841.2900,12078.8800
2023-03-23,12078.8800,12191.3800,11999.6000,12175.5200
2023-03-24,12175.5200,12212.6100,12134.1200,12206.4400
2023-03-27,12206.4400,12206.4400,12090.0100,12092.8300
2023-03-28,12092.8300,12096.1500,11978.9000,11992.5100
2023-03-29,11992.5100,12087.2400,11981.6700,12063.0500
2023-03-30,12063.0500,12166.0700,12063.0500,12130.4500
2023-03-31,12130.4500,12219.6000,12119.9400,12131.8100
2023-04-06,12131.8100,12131.8100,12007.0000,12057.5100
2023-04-07,12057.5100,12112.5000,12039.3300,12065.1100
2023-04-10,12065.1100,12120.2100,12046.3600,12063.4800
2023-04-11,12063.4800,12090.2500,11995.6200,12054.4000
2023-04-12,12054.4000,12062.6200,11979.1300,12024.4000
2023-04-13,12024.4000,12024.4000,11894.7400,11902.0200
2023-04-14,11902.0200,12058.5400,11902.0200,12008.5900
2023-04-17,12008.5900,12026.7400,11945.9100,12026.7400
2023-04-18,12026.7400,12026.7400,11922.4700,11941.0600
